               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.063016,             0.15222,            0.040357,             0.37665,             0.29697,             0.23671,             0.12833,            0.059737,            0.080589,            0.030836,            0.003664,            0.003664,            0.003664
                  66,            0.063115,             0.15102,             0.04049,             0.37366,             0.29781,             0.23722,             0.12831,            0.059681,             0.08051,            0.030763,            0.003565,            0.003565,            0.003565
                  67,            0.062684,             0.15131,            0.040161,             0.37153,             0.29509,             0.23791,             0.12882,            0.059638,            0.080458,            0.030718,            0.003466,            0.003466,            0.003466
                  68,            0.062764,             0.15079,            0.040301,             0.36811,             0.29923,             0.23864,             0.12958,            0.059581,            0.080382,            0.030654,            0.003367,            0.003367,            0.003367
                  69,            0.062615,             0.15082,            0.040427,             0.36902,             0.29737,             0.23943,             0.13007,            0.059521,            0.080335,            0.030606,            0.003268,            0.003268,            0.003268
                  70,            0.062346,             0.14981,            0.039942,             0.37079,             0.29896,             0.24045,             0.13088,            0.059472,             0.08031,            0.030576,            0.003169,            0.003169,            0.003169
                  71,             0.06251,             0.14965,            0.040006,             0.37649,             0.30197,             0.24096,             0.13155,            0.059424,            0.080296,            0.030497,             0.00307,             0.00307,             0.00307
                  72,            0.062158,             0.14993,            0.039798,             0.37762,             0.30299,             0.24196,             0.13213,            0.059385,            0.080273,            0.030447,            0.002971,            0.002971,            0.002971
                  73,            0.062043,             0.15013,            0.039462,             0.38192,             0.30048,             0.24305,             0.13278,             0.05935,            0.080256,            0.030413,            0.002872,            0.002872,            0.002872
                  74,            0.062256,              0.1497,            0.039433,             0.38049,             0.30248,             0.24352,             0.13312,            0.059318,            0.080231,            0.030365,            0.002773,            0.002773,            0.002773
                  75,            0.062163,             0.14968,            0.039649,             0.38543,              0.3046,             0.24412,             0.13375,            0.059286,             0.08021,            0.030325,            0.002674,            0.002674,            0.002674
